INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
B2ts v2,2,1,0.0196,0.0104,0.0142,0.0062,0.012,0.004,0.0049,0.0026,0.015,0.007,0.0127,0.0047,Intel,2,true
B2ls v2,2,4,0.0508,0.0416,0.0325,0.0245,0.0238,0.0158,0.0127,0.0104,0.0359,0.0279,0.0267,0.0187,Intel,2,true
B2s v2,2,8,0.0924,0.0832,0.0571,0.0491,0.0396,0.0316,0.0231,0.0208,0.0637,0.0557,0.0454,0.0374,Intel,2,true
B4ls v2,4,8,0.166,0.147,0.103,0.087,0.072,0.056,0.0415,0.0368,0.1145,0.0985,0.0822,0.0662,Intel,4,true
B4s v2,4,16,0.185,0.166,0.1142,0.0982,0.0792,0.0632,0.0463,0.0415,0.1272,0.1112,0.0907,0.0747,Intel,4,true
B8ls v2,8,16,0.332,0.295,0.2059,0.1739,0.144,0.112,0.083,0.0738,0.2297,0.1977,0.1648,0.1328,Intel,8,true
B8s v2,8,32,0.37,0.333,0.2284,0.1964,0.1585,0.1265,0.0925,0.0833,0.2551,0.2231,0.1819,0.1499,Intel,8,true
B16ls v2,16,32,0.663,0.589,0.4118,0.3478,0.288,0.224,0.1658,0.1473,0.4586,0.3946,0.3291,0.2651,Intel,16,true
B16s v2,16,64,0.739,0.666,0.4567,0.3927,0.3169,0.2529,0.1848,0.1665,0.5102,0.4462,0.3637,0.2997,Intel,16,true
B32ls v2,32,64,1.326,1.179,0.8234,0.6954,0.576,0.448,0.3315,0.2948,0.9179,0.7899,0.6586,0.5306,Intel,32,true
B32s v2,32,128,1.478,1.331,0.9134,0.7854,0.6339,0.5059,0.3695,0.3328,1.0198,0.8918,0.727,0.599,Intel,32,true
B2ats v2,2,1,0.0186,0.0094,0.0136,0.0056,0.0116,0.0036,0.0047,0.0024,0.0143,0.0063,0.0122,0.0042,AMD,2,true
B2als v2,2,4,0.0468,0.0376,0.0302,0.0222,0.0223,0.0143,0.0117,0.0094,0.0406,0.0326,0.0337,0.0257,AMD,2,true
B2as v2,2,8,0.0844,0.0752,0.0524,0.0444,0.0366,0.0286,0.0211,0.0188,0.0584,0.0504,0.0418,0.0338,AMD,2,true
B4als v2,4,8,0.152,0.133,0.0945,0.0785,0.0666,0.0506,0.038,0.0333,0.1051,0.0891,0.0759,0.0599,AMD,4,true
B4as v2,4,16,0.169,0.15,0.1047,0.0887,0.0732,0.0572,0.0423,0.0375,0.1165,0.1005,0.0835,0.0675,AMD,4,true
B8als v2,8,16,0.303,0.266,0.1892,0.1572,0.1333,0.1013,0.0758,0.0665,0.2102,0.1782,0.1517,0.1197,AMD,8,true
B8as v2,8,32,0.338,0.301,0.2095,0.1775,0.1463,0.1143,0.0845,0.0753,0.2337,0.2017,0.1675,0.1355,AMD,8,true
B16als v2,16,32,0.606,0.533,0.3783,0.3143,0.2664,0.2024,0.1515,0.1333,0.4211,0.3571,0.3039,0.2399,AMD,16,true
B16as v2,16,64,0.675,0.602,0.4189,0.3549,0.2926,0.2286,0.1688,0.1505,0.4673,0.4033,0.3349,0.2709,AMD,16,true
B32als v2,32,64,1.213,1.065,0.7567,0.6287,0.5329,0.4049,0.3033,0.2663,0.8416,0.7136,0.6073,0.4793,AMD,32,true
B32as v2,32,128,1.35,1.203,0.8379,0.7099,0.5852,0.4572,0.3375,0.3008,0.934,0.806,0.6694,0.5414,AMD,32,true
B1s,1,1,0.014,0.0104,0.0101,0.0061,0.0079,0.0039,N/A,N/A,0.011,0.007,0.0087,0.0047,Intel,1,true
B1ms,1,2,0.0246,0.0207,0.0162,0.0122,0.0118,0.0078,N/A,N/A,0.0179,0.0139,0.0133,0.0093,Intel,1,true
B2s,2,4,0.0496,0.0416,0.0323,0.0243,0.0236,0.0156,N/A,N/A,0.036,0.028,0.0267,0.0187,Intel,2,true
B2ms,2,8,0.0912,0.0832,0.0566,0.0486,0.0393,0.0313,N/A,N/A,0.064,0.056,0.0455,0.0375,Intel,2,true
B4ms,4,16,0.182,0.166,0.1134,0.0974,0.0786,0.0626,N/A,N/A,0.1278,0.1118,0.0908,0.0748,Intel,4,true
B8ms,8,32,0.365,0.333,0.2268,0.1948,0.1571,0.1251,N/A,N/A,0.2563,0.2243,0.1821,0.1501,Intel,8,true
B12ms,12,48,0.547,0.499,0.3401,0.2921,0.2357,0.1877,N/A,N/A,0.3841,0.3361,0.2729,0.2249,Intel,12,true
B16ms,16,64,0.73,0.666,0.4535,0.3895,0.3142,0.2502,N/A,N/A,0.5126,0.4486,0.3641,0.3001,Intel,16,true
B20ms,20,80,0.912,0.832,0.5669,0.4869,0.3928,0.3128,N/A,N/A,0.6404,0.5604,0.4549,0.3749,Intel,20,true
