INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
B2ts v2,2,1,0.0265,0.0141,0.0191,0.0083,0.0162,0.0054,0.0066,0.0035,0.0202,0.0094,0.0171,0.0063,Intel,2,true
B2ls v2,2,4,0.0687,0.0562,0.044,0.0332,0.0322,0.0213,0.0172,0.0141,0.0485,0.0377,0.0361,0.0253,Intel,2,true
B2s v2,2,8,0.1249,0.1125,0.0772,0.0664,0.0536,0.0427,0.0312,0.0281,0.0862,0.0754,0.0614,0.0506,Intel,2,true
B4ls v2,4,8,0.2244,0.1987,0.1392,0.1176,0.0974,0.0757,0.0561,0.0497,0.1548,0.1332,0.1111,0.0894,Intel,4,true
B4s v2,4,16,0.2501,0.2244,0.1544,0.1327,0.1071,0.0855,0.0625,0.0561,0.172,0.1504,0.1226,0.101,Intel,4,true
B8ls v2,8,16,0.4488,0.3988,0.2783,0.2351,0.1947,0.1514,0.1122,0.0997,0.3105,0.2672,0.2227,0.1795,Intel,8,true
B8s v2,8,32,0.5002,0.4502,0.3087,0.2655,0.2142,0.171,0.1251,0.1125,0.3449,0.3016,0.2459,0.2026,Intel,8,true
B16ls v2,16,32,0.8963,0.7963,0.5568,0.4702,0.3894,0.3029,0.2241,0.1991,0.62,0.5335,0.4449,0.3583,Intel,16,true
B16s v2,16,64,0.9991,0.9004,0.6174,0.5309,0.4285,0.3419,0.2498,0.2251,0.6898,0.6033,0.4917,0.4052,Intel,16,true
B32ls v2,32,64,1.7927,1.5939,1.1132,0.9402,0.7787,0.6056,0.4482,0.3985,1.241,1.0679,0.8903,0.7173,Intel,32,true
